Agency,Mode,Fuel,State,Total_Energy,Total_Emissions_kg,Total_Emissions_lb,UPT,MILES
Augusta Richmond County Transit Department,Motor Bus,Diesel Fuel,GA,127180,2855191,6294611.1824199995,423982,1726132
Spokane Transit Authority,Demand Response,Gasoline,WA,152360,2853702.8000000003,6291330.266936,9403739,46318134
Knoxville-Knox County Community Action Committee,Demand Response,Gasoline,TN,152000,2846960,6276464.9552,114573,1633712
Saginaw Transit Authority Regional Service,Motor Bus,Diesel Fuel,MI,126748,2845492.6,6273229.895811999,477324,3044653
Rhode Island Department of Transportation,Ferry Boat,Diesel Fuel,RI,126643,2843135.35,6268033.055317,34821,904702
City of Eau Claire,Motor Bus,Diesel Fuel,WI,126470,2839251.5,6259470.641929999,672882,1868624
Tampa Bay Area Regional Transit Authority,Vanpool,Gasoline,FL,151121,2830496.33,6240168.819044599,393283,11813691
Greater Attleboro-Taunton Regional Transit Authority,Motor Bus,Diesel Fuel,MA,125825,2824771.25,6227547.193174999,707860,3171004
Ms Coast Transportation Authority,Motor Bus,Diesel Fuel,MS,125819,2824636.55,6227250.230860999,751314,6961094
County of Miami-Dade,Vanpool,Gasoline,FL,149546,2800996.58,6175133.080199599,77961885,414128978
Greater Peoria Mass Transit District,Demand Response,Gasoline,IL,149146,2793504.58,6158616.0671596,1871743,10047144
Lake County Board of County Commissioners,Demand Response,Gasoline,FL,148556,2782453.88,6134253.4729256,289663,2164266
City of Green Bay,Motor Bus,Diesel Fuel,WI,123337,2768915.65,6104406.820303,836102,2684166
Green Mountain Transit Authority,Demand Response,Gasoline,VT,147542,2763461.66,6092382.8448692,2455808,10319587
Intercity Transit,Vanpool,Gasoline,WA,146336,2740873.2800000003,6042584.0505536,3898995,24528110
Greater Roanoke Transit Company,Demand Response,Gasoline,VA,145447,2724222.31,6005874.9890722,1287135,7602285
City of Wilsonville,Motor Bus,C Natural Gas,OR,22479,2716587.15,5989042.362632999,185195,1207058
Erie Metropolitan Transit Authority,Demand Response,Gasoline,PA,143996,2697045.08,5945959.5242695995,1423465,3300207
Lake County Board of County Commissioners,Motor Bus,Diesel Fuel,FL,119936,2692563.1999999997,5936078.681983999,289663,2164266
Norwalk Transit District,Demand Response,Gasoline,CT,142762,2673932.2600000002,5895004.5390412,1564640,5619863
"City of Jackson, MS",Motor Bus,Diesel Fuel,MS,118478,2659831.1,5863916.839682,449129,1079378
Luzerne County Transportation Authority,Demand Response,Gasoline,PA,140067,2623454.91,5783721.1636842,864744,4208055
"Transit Management of Central Maryland, Inc.",Demand Response,Gasoline,MD,139333,2609707.09,5753412.444755799,790641,4538713
City of Baltimore,Motor Bus,Diesel Fuel,MD,115268,2587766.6,5705042.001692,1276575,1928119
"Spartanburg Regional Health Services, Inc.",Demand Response,Gasoline,SC,138059,2585845.07,5700805.7582233995,85594,881308
Lee County,Demand Response,Gasoline,FL,136912,2564361.7600000002,5653443.2233312,1742894,10735134
Indian River County,Motor Bus,Diesel Fuel,FL,113656,2551577.1999999997,5625258.126663999,1292919,5934814
Central Ohio Transit Authority,Demand Response,Gasoline,OH,135650,2540724.5,5601332.047189999,11526490,51281571
City of Memphis,Demand Response,Gasoline,TN,135502,2537952.46,5595220.7523652,2819588,14475117
Mass Transportation Authority,Demand Response,Gasoline,MI,135390,2535854.7,5590595.988714,2913347,43975174
Port Imperial Ferry Corporation,Motor Bus,Diesel Fuel,NJ,112500,2525625,5568043.387499999,5689838,12587409
Anne Arundel County,Demand Response,Gasoline,MD,134824,2525253.52,5567224.415262399,149857,1152250
Pinellas Suncoast Transit Authority,Demand Response,Gasoline,FL,131809,2468782.57,5442727.429473399,10210124,54152172
Municipality of Anchorage,Demand Response,Gasoline,AK,130655,2447168.15,5395075.846852999,3117877,20591368
Greater Richmond Transit Company,Motor Bus,Diesel Fuel,VA,108330,2432008.5,5361654.57927,9723640,48410504
Cape Cod Regional Transit Authority,Demand Response,Gasoline,MA,129366,2423025.18,5341849.7723316,726134,8680561
METRO Regional Transit Authority,Demand Response,Gasoline,OH,128485,2406524.0500000003,5305471.051111001,4324674,18176923
Lakeland Area Mass Transit District,Demand Response,Gasoline,FL,128431,2405512.63,5303241.254350599,848241,4655234
Erie Metropolitan Transit Authority,Motor Bus,Diesel Fuel,PA,106257,2385469.65,5259054.099783,1423465,3300207
King County,Motor Bus,Gasoline,WA,126689,2372884.97,5231309.6625614,78886848,301530502
Baldwin County Commission,Demand Response,Gasoline,AL,126283,2365280.59,5214544.894325799,101576,1077003
Portage Area Regional Transportation Authority,Motor Bus,Diesel Fuel,OH,105186,2361425.6999999997,5206046.326733999,904481,2689790
Gary Public Transportation Corporation,Motor Bus,Diesel Fuel,IN,104856,2354017.1999999997,5189713.399463999,460489,944846
City of Fairfax,Motor Bus,Diesel Fuel,VA,104272,2340906.4,5160809.0675679995,845194,2558100
Brevard Board of County Commissioners,Demand Response,Diesel Fuel,FL,103909,2332757.05,5142842.8475709995,1855968,12482419
County of Fayette,Demand Response,Gasoline,PA,124295,2328045.35,5132455.339517,181885,2022566
Snohomish County Public Transportation Benefit Area Corporation,Vanpool,Gasoline,WA,123886,2320384.7800000003,5115566.6936836,7146008,58898665
Transit Authority of Northern Kentucky,Demand Response,Gasoline,KY,123685,2316620.0500000003,5107266.894631,1913143,10690427
Merrimack Valley Regional Transit Authority,Demand Response,Gasoline,MA,123670,2316339.1,5106647.506642,1886152,9138820
Greater Peoria Mass Transit District,Motor Bus,Bio-Diesel,IL,101998,2289855.1,5048260.350562,1871743,10047144
Central Florida Regional Transportation Authority,Vanpool,Gasoline,FL,122229,2289349.17,5047144.967165399,18418220,111018391
"Frederick County, Maryland",Motor Bus,Diesel Fuel,MD,101747,2284220.15,5035837.427092999,677642,3659312
Jacksonville Transportation Authority,Ferry Boat,Bio-Diesel,FL,101085,2269358.25,5003072.585115,6678105,36776548
City of Montgomery,Motor Bus,Gasoline,AL,120407,2255223.11,4971909.9727682,422109,1912289
Niagara Frontier Transportation Authority,Motor Bus,Electric Battery,NY,9444,2236107.809962715,4929768,14531216,46252415
Transit Authority of Central Kentucky,Demand Response,Gasoline,KY,118290,2215571.7,4884493.681254,98435,1683699
Worcester Regional Transit Authority,Demand Response,Gasoline,MA,118181,2213530.13,4879992.795200599,4133429,16612797
City of Durham,Demand Response,Gasoline,NC,116775,2187195.75,4821935.494364999,5754102,18948578
Ben Franklin Transit,Vanpool,Gasoline,WA,116354,2179310.42,4804551.338140399,3178377,24325382
Anne Arundel County,Motor Bus,Gasoline,MD,116057,2173747.61,4792287.4559582,149857,1152250
"Senior Citizens United Community Services of Camden County, Inc.",Demand Response,Gasoline,NJ,115863,2170113.99,4784276.7046338,108834,961907
"Prince George's County, Maryland",Motor Bus,Electric Battery,MD,8469,2143544.9193058214,4725702,1800711,13130314
Cambria County Transit Authority,Motor Bus,Diesel Fuel,PA,95426,2142313.6999999997,4722987.629293999,804968,4713352
County of Lackawanna Transit System,Motor Bus,Diesel Fuel,PA,93729,2104216.05,4638996.788150999,798042,3912648
Bay Metropolitan Transit Authority,Motor Bus,Diesel Fuel,MI,92941,2086525.45,4599995.737578999,290244,2107127
City of Mobile,Demand Response,Gasoline,AL,110813,2075527.49,4575749.4150038,568192,3701933
City of Moorhead,Motor Bus,Diesel Fuel,MN,92425,2074941.25,4574456.978575,383279,1380595
Ohio Valley Regional Transportation Authority,Motor Bus,Diesel Fuel,WV,92206,2070024.7,4563617.854114,317863,1774356
Bay County Transportation Planning Organization,Motor Bus,Diesel Fuel,FL,90870,2040031.5,4497494.24553,398400,2792272
Stark Area Regional Transit Authority,Motor Bus,Diesel Fuel,OH,89974,2019916.3,4453147.873306,1387558,10133529
MetroWest Regional Transit Authority,Demand Response,Gasoline,MA,107245,2008698.85,4428417.658687,479776,2476730
Pierce County Transportation Benefit Area Authority,Demand Response,C Natural Gas,WA,16539,1998738.15,4406458.100252999,6792245,40362320
Regional Transportation Authority,Commuter Bus,Diesel Fuel,TN,88532,1987543.4,4381777.930508,173746,4037298
Connecticut Department of Transportation- CTTransit Waterbury- NET,Demand Response,Gasoline,CT,105580,1977513.4000000001,4359665.5919079995,2036974,6907927
Southeastern Regional Transit Authority,Demand Response,Gasoline,MA,104804,1962978.9200000002,4327622.5866104,2368548,8819684
Cobb County,Commuter Bus,Diesel Fuel,GA,87393,1961972.8499999999,4325404.584566999,854074,4391380
Loudoun County,Motor Bus,Diesel Fuel,VA,85644,1922707.8,4238840.070036,526819,7797386
Cape Cod Regional Transit Authority,Motor Bus,Gasoline,MA,102384,1917652.32,4227694.6577184,726134,8680561
Somerset County,Demand Response,Gasoline,NJ,101194,1895363.62,4178556.5439243997,215121,1265945
Susquehanna Regional Transportation Authority,Motor Bus,Gasoline,PA,101176,1895026.48,4177813.2783375997,3072507,19627362
Board of County Commissioners of St. Lucie County,Motor Bus,Diesel Fuel,FL,82437,1850710.65,4080113.7132029994,671535,3348134
Greater Bridgeport Transit Authority,Motor Bus,Electric Battery,CT,7067,1846391.6684054397,4070592,5266649,15150397
Westmoreland County Transit Authority,Motor Bus,Diesel Fuel,PA,81750,1835287.5,4046111.5282499995,350383,4294890
Jackson Transit Authority,Motor Bus,Diesel Fuel,TN,81568,1831201.5999999999,4037103.6713919993,298840,1635772
Chatham Area Transit Authority,Demand Response,Gasoline,GA,97576,1827598.48,4029160.1609775997,2286113,5186604
City of Jackson Transportation Authority,Motor Bus,Diesel Fuel,MI,81181,1822513.45,4017949.6021389994,316935,889242
Rockford Mass Transit District,Demand Response,Gasoline,IL,96772,1812539.56,3995960.9647672,994754,5035893
Snohomish County Public Transportation Benefit Area Corporation,Motor Bus,Bio-Diesel,WA,80345,1803745.25,3976572.853055,7146008,58898665
City of Tallahassee,Demand Response,Gasoline,FL,96262,1802987.26,3974901.7731411997,2588477,10140885
Central Midlands Regional Transportation Authority,Motor Bus,Liquified Petroleum Gas,SC,141725,1797073,3961863.0772599997,1968473,12347578
Board of County Commissioners of St. Lucie County,Demand Response,Gasoline,FL,95419,1787197.87,3940092.1681594,671535,3348134
Lane Transit District,Demand Response,Gasoline,OR,94756,1774779.8800000001,3912715.2190456,6311613,22779952
Municipality of Anchorage,Vanpool,Gasoline,AK,94553,1770977.69,3904332.8349277996,3117877,20591368
Central Ohio Transit Authority,Demand Response,Diesel Fuel,OH,78499,1762302.55,3885207.447781,11526490,51281571
Mass Transportation Authority,Motor Bus,Liquified Petroleum Gas,MI,138856,1760694.08,3881661.3826496,2913347,43975174
Ada County Highway District,Vanpool,Gasoline,ID,93898,1758709.54,3877286.2260748,130715,5076885
Ann Arbor Area Transportation Authority,Demand Response,Gasoline,MI,93267,1746890.9100000001,3851230.6380042,4680565,23620240
Metropolitan Bus Authority,Demand Response,Gasoline,PR,93039,1742620.47,3841815.9405713994,2486681,10234371
Bergen County,Demand Response,Gasoline,NJ,93018,1742227.1400000001,3840948.7973868,139952,1223026
Martin County,Motor Bus,Diesel Fuel,FL,77544,1740862.8,3837940.9461359996,107491,863744
Central Midlands Regional Transportation Authority,Demand Response,Liquified Petroleum Gas,SC,136191,1726901.88,3807162.4226855994,1968473,12347578
City of Memphis,Demand Response,Diesel Fuel,TN,76800,1724160,3801117.6191999996,2819588,14475117
Susquehanna Regional Transportation Authority,Commuter Bus,C Natural Gas,PA,14193,1715224.0499999998,3781417.2451109993,3072507,19627362
Whatcom Transportation Authority,Demand Response,Gasoline,WA,91010,1704617.3,3758033.391926,3724696,11921726
Skagit Transit,Commuter Bus,Diesel Fuel,WA,74965,1682964.25,3710296.6448349995,573848,7120242
Montachusett Regional Transit Authority,Motor Bus,Diesel Fuel,MA,74722,1677508.9,3698269.6711179996,874511,7073693
University of Georgia,Motor Bus,Diesel Fuel,GA,72870,1635931.5,3606607.3035299997,2941019,3512275
Salem Area Mass Transit District,Demand Response,Gasoline,OR,86646,1622879.58,3577832.7796596,3027255,11246133
City of Knoxville,Demand Response,Gasoline,TN,86438,1618983.74,3569243.9328787997,2312188,7161127
City of Longview,Motor Bus,Bio-Diesel,WA,71768,1611191.5999999999,3552065.225191999,274804,1040117
Springfield Mass Transit District,Demand Response,Gasoline,IL,85843,1607839.3900000001,3544674.8759818,1319966,5001748
City of Albany,Demand Response,C Natural Gas,GA,13256,1601987.5999999999,3531773.9027119996,273626,1501671
Research Triangle Regional Public Transportation Authority,Demand Response,Gasoline,NC,85152,1594896.96,3516141.7359551997,1653233,14834526
Green Mountain Transit Authority,Commuter Bus,Diesel Fuel,VT,70929,1592356.05,3510539.994951,2455808,10319587
Portage Area Regional Transportation Authority,Demand Response,Gasoline,OH,84641,1585325.93,3495041.2517965995,904481,2689790
Western Piedmont Regional Transit Authority,Demand Response,Gasoline,NC,83565,1565172.45,3450610.4867189997,124319,1139015
County of Atlantic,Demand Response,Gasoline,NJ,83191,1558167.43,3435167.0795265995,86347,658856
Stark Area Regional Transit Authority,Demand Response,Diesel Fuel,OH,69350,1556907.5,3432389.41265,1387558,10133529
METRO Regional Transit Authority,Motor Bus,Diesel Fuel,OH,69319,1556211.55,3430855.1073609996,4324674,18176923
Pinellas Suncoast Transit Authority,Rapid Bus,Diesel Fuel,FL,68844,1545547.8,3407345.5908359997,10210124,54152172
Chelan Douglas PTBA,Motor Bus,Gasoline,WA,82298,1541441.54,3398292.8479147996,1113038,9761540
Buncombe County,Demand Response,Gasoline,NC,81237,1521569.01,3354481.4708261997,113858,1149650
Interurban Transit Partnership,Rapid Bus,Diesel Fuel,MI,67469,1514679.05,3339291.727211,6042030,27512044
Toledo Area Regional Transit Authority,Demand Response,Gasoline,OH,80601,1509656.73,3328219.4200925995,1891108,13977629
Ann Arbor Area Transportation Authority,Commuter Bus,Diesel Fuel,MI,66625,1495731.25,3297519.0283749998,4680565,23620240
"City of Gainesville, FL",Demand Response,Gasoline,FL,79322,1485701.06,3275406.2708972,5170533,17908961
Champaign-Urbana Mass Transit District,Demand Response,Gasoline,IL,78570,1471616.1,3244354.286382,8573106,14797075
"City of Huntsville, Alabama",Demand Response,Gasoline,AL,78060,1462063.8,3223295.0947559997,701566,3228556
"Escambia County Board of County Commissioners, FL",Demand Response,Gasoline,FL,78049,1461857.77,3222840.8768974,894386,4947071
The Tri-County Council for the Lower Eastern Shore of Maryland,Motor Bus,Liquified Petroleum Gas,MD,114305,1449387.4,3195348.4497879995,213781,6003442
Ulster County,Motor Bus,Bio-Diesel,NY,64458,1447082.0999999999,3190266.1393019995,430747,3954087
Berkshire Regional Transit Authority,Motor Bus,Diesel Fuel,MA,63484,1425215.8,3142059.2569959997,509964,3054823
County of Rockland,Demand Response,Gasoline,NY,75953,1422599.69,3136291.7285677996,1385483,8437498
Greater Lafayette Public Transportation Corporation,Motor Bus,Diesel Fuel,IN,63014,1414664.3,3118797.209066,4447311,10619883
Greater Richmond Transit Company,Vanpool,Gasoline,VA,75265,1409713.45,3107882.4661389994,9723640,48410504
Kanawha Valley Regional Transportation Authority,Demand Response,Gasoline,WV,73567,1377909.91,3037767.7457841993,1094139,5380596
Brockton Area Transit Authority,Demand Response,Gasoline,MA,73279,1372515.67,3025875.4963954,1859235,10696156
Berkshire Regional Transit Authority,Motor Bus,Gasoline,MA,73165,1370380.45,3021168.1476789997,509964,3054823
Whatcom Transportation Authority,Demand Response,Liquified Petroleum Gas,WA,107497,1363061.96,3005033.6582551994,3724696,11921726
Bloomington-Normal Public Transit System,Demand Response,Gasoline,IL,72569,1359217.37,2996557.7982493998,2125519,5027621
Chattanooga Area Regional Transportation Authority,Demand Response,Gasoline,TN,72566,1359161.18,2996433.9206515998,1736039,5747254
Town of Huntington,Motor Bus,Gasoline,NY,71942,1347473.66,2970667.3803091994,94877,521015
Beaver County Transit Authority,Demand Response,Gasoline,PA,71542,1339981.66,2954150.3672691993,461712,3621844
Central County Transportation Authority,Demand Response,Gasoline,MI,69956,1310275.8800000001,2888660.4105656,1799216,7244636
Lowell Regional Transit Authority,Demand Response,Gasoline,MA,69631,1304188.6300000001,2875240.3374706,812372,4282663
Housatonic Area Regional Transit,Demand Response,Gasoline,CT,69630,1304169.9000000001,2875199.044938,598732,3824120
"Frederick County, Maryland",Demand Response,Gasoline,MD,69357,1299056.61,2863926.1835382,677642,3659312
Intercity Transit,Demand Response,Diesel Fuel,WA,57720,1295814,2856777.4606799996,3898995,24528110
Okaloosa County Board of County Commissioners,Demand Response,Gasoline,FL,68712,1286975.76,2837292.5000111996,105016,771891
Susquehanna Regional Transportation Authority,Commuter Bus,Diesel Fuel,PA,57054,1280862.3,2823814.643826,3072507,19627362
City of Everett,Demand Response,Gasoline,WA,68222,1277798.06,2817059.1590372,1404970,5193721
Ann Arbor Area Transportation Authority,Vanpool,Gasoline,MI,68171,1276842.83,2814953.2398746,4680565,23620240
Capital District Transportation Authority,Commuter Bus,Diesel Fuel,NY,56874,1276821.3,2814905.774406,13833236,58050444
Skagit Transit,Demand Response,Liquified Petroleum Gas,WA,100477,1274048.3599999999,2808792.4954231996,573848,7120242
Town of Chapel Hill,Demand Response,Gasoline,NC,67987,1273396.51,2807355.4138761996,3722063,6498337
City of Long Beach,Motor Bus,Diesel Fuel,NY,56169,1260994.05,2780012.702511,97523,270560
Borough of Pottstown,Motor Bus,Diesel Fuel,PA,55929,1255606.05,2768134.209951,138196,240733
Bay County Transportation Planning Organization,Demand Response,Gasoline,FL,66859,1252269.07,2760777.4371034,398400,2792272
Pasco County Board of County Commissioners,Demand Response,Gasoline,FL,66736,1249965.28,2755698.4555936,683554,3766914
Cape Fear Public Transportation Authority,Demand Response,Gasoline,NC,66111,1238259.03,2729890.6227185996,721308,2152407
City of Waukesha,Commuter Bus,Diesel Fuel,WI,54933,1233245.8499999999,2718838.4658269994,466611,2014029
Milford Transit District,Motor Bus,Diesel Fuel,CT,54681,1227588.45,2706366.0486389995,270092,1376659
"County Commissioners of Charles County, MD",Demand Response,Gasoline,MD,65469,1226234.37,2703380.8167894,542316,4398362
Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Motor Bus,Diesel Fuel,CT,54146,1215577.7,2679886.908974,319168,4391736
Piedmont Authority for Regional Transportation,Vanpool,Gasoline,NC,64440,1206961.2,2660890.800744,367508,9660890
"Prince George's County, Maryland",Demand Response,Gasoline,MD,64165,1201810.45,2649535.354279,1800711,13130314
The Tri-County Council for the Lower Eastern Shore of Maryland,Motor Bus,Gasoline,MD,64155,1201623.1500000001,2649122.428953,213781,6003442
Charleston Area Regional Transportation Authority,Demand Response,Gasoline,SC,63922,1197259.06,2639501.2688571997,2230900,12721462
Cobb County,Demand Response,Gasoline,GA,63851,1195929.23,2636569.4990426,854074,4391380
Cooperative Alliance for Seacoast Transportation,Motor Bus,Diesel Fuel,NH,52975,1189288.75,2621929.764025,291028,1961994
Tompkins Consolidated Area Transit,Demand Response,Gasoline,NY,63430,1188043.9000000001,2619185.342818,2222629,10556141
Washington County Transportation Authority,Motor Bus,Diesel Fuel,PA,52800,1185360,2613268.3631999996,246090,2597556
Broome County,Demand Response,Gasoline,NY,62386,1168489.78,2576075.9387836,1507413,5399291
Somerset County,Motor Bus,Gasoline,NJ,61952,1160360.96,2558154.9796351995,215121,1265945
Central Oregon Intergovernmental Council,Commuter Bus,Diesel Fuel,OR,51658,1159722.0999999999,2556746.5361019997,503039,3520617
Chattanooga Area Regional Transportation Authority,Motor Bus,Gasoline,TN,61814,1157776.22,2552456.6101363995,1736039,5747254
Manatee County Board of County Commissioners,Demand Response,Gasoline,FL,61804,1157588.92,2552043.6848103995,1605257,7357313
METRO Regional Transit Authority,Demand Response,Diesel Fuel,OH,50701,1138237.45,2509381.0470189997,4324674,18176923
Mecklenburg County,Demand Response,Gasoline,NC,60275,1128950.75,2488907.402465,349575,3143856
The Tri-County Council for the Lower Eastern Shore of Maryland,Demand Response,Liquified Petroleum Gas,MD,88694,1124639.92,2479403.6604303997,213781,6003442
County of Lackawanna Transit System,Demand Response,Gasoline,PA,58739,1100181.47,2425482.0723913996,798042,3912648
Piedmont Authority for Regional Transportation,Commuter Bus,Gasoline,NC,58590,1097390.7,2419329.4850339997,367508,9660890
Board of County Commissioners of St. Lucie County,Demand Response,Diesel Fuel,FL,47690,1070640.5,2360355.4591099997,671535,3348134
Intercity Transit,Commuter Bus,Diesel Fuel,WA,47506,1066509.7,2351248.6148139997,3898995,24528110
Spokane Transit Authority,Vanpool,Gasoline,WA,56463,1057551.99,2331500.2681938,9403739,46318134
Central County Transportation Authority,Demand Response,Diesel Fuel,MI,46761,1049784.45,2314375.794159,1799216,7244636
"City of Jackson, MS",Demand Response,Gasoline,MS,55867,1046388.91,2306889.9187642,449129,1079378
Chatham Area Transit Authority,Ferry Boat,Diesel Fuel,GA,46593,1046012.85,2306060.8493669997,2286113,5186604
Chelan Douglas PTBA,Demand Response,Gasoline,WA,55414,1037904.22,2288184.4014963997,1113038,9761540
Private Transportation Corporation,Motor Bus,Diesel Fuel,NY,46016,1033059.2,2277502.973504,237882,1244928
City of Appleton,Demand Response,Gasoline,WI,55155,1033053.15,2277489.635553,777302,3335281
Indian River County,Demand Response,Gasoline,FL,54488,1020560.24,2249947.5163088,1292919,5934814
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Motor Bus,Diesel Fuel,MA,45256,1015997.2,2239887.7470639995,3860264,40644147
Casco Bay Island Transit District,Ferry Boat,Bio-Diesel,ME,45162,1013886.9,2235235.3374779997,1053175,3749303
New Jersey Transit Corporation,Vanpool,Gasoline,NJ,53646,1004789.5800000001,2215179.2038596,198590133,2314384007
Luzerne County Transportation Authority,Motor Bus,Diesel Fuel,PA,44751,1004659.95,2214893.4189689998,864744,4208055
Western Reserve Transit Authority,Demand Response,Gasoline,OH,53587,1003684.51,2212742.9444362,2015081,6871274
Putnam County,Motor Bus,Gasoline,NY,53530,1002616.9,2210389.2700779997,96321,793823
Lakeland Area Mass Transit District,Motor Bus,Gasoline,FL,53309,998477.5700000001,2201263.6203734,848241,4655234
Beaver County Transit Authority,Motor Bus,Diesel Fuel,PA,44413,997071.85,2198164.5419469997,461712,3621844
Mass Transportation Authority,Motor Bus,Diesel Fuel,MI,43867,984814.15,2171140.9713729997,2913347,43975174
Cape Ann Transportation Authority,Demand Response,Gasoline,MA,51843,971019.39,2140728.7675818,180339,519373
City of Montgomery,Demand Response,Gasoline,AL,51754,969352.42,2137053.7321804,422109,1912289
Dutchess County,Demand Response,Diesel Fuel,NY,42979,964878.5499999999,2127190.5489009996,827886,3978437
Ulster County,Motor Bus,Diesel Fuel,NY,42972,964721.4,2126844.092868,430747,3954087
City of Fayetteville,Demand Response,Gasoline,NC,51296,960774.0800000001,2118141.7522496,2195673,9099174
Suburban Mobility Authority for Regional Transportation,Demand Response,Diesel Fuel,MI,42729,959266.0499999999,2114817.1191509995,4827519,45670297
Intercity Transit,Demand Response,Liquified Petroleum Gas,WA,75626,958937.6799999999,2114093.1880816,3898995,24528110
Manatee County Board of County Commissioners,Demand Response,Diesel Fuel,FL,42706,958749.7,2113678.763614,1605257,7357313
Interurban Transit Partnership,Demand Response,Gasoline,MI,50918,953694.14,2102533.1749267997,6042030,27512044
Cooperative Alliance for Seacoast Transportation,Motor Bus,Bio-Diesel,NH,42400,951880,2098533.6856,291028,1961994
Rock Island County Metropolitan Mass Transit District,Demand Response,Gasoline,IL,50814,951746.22,2098238.7515363996,1927164,9497862
Gwinnett County Board of Commissioners,Demand Response,Gasoline,GA,50640,948487.2000000001,2091053.850864,1177163,12311104
Delaware Transit Corporation,Motor Bus,Bio-Diesel,DE,42104,945234.7999999999,2083883.5447759996,7629486,49897548
Metropolitan Transit Authority,Motor Bus,Gasoline,TN,50400,943992,2081143.6430399998,8162766,34901383
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Motor Bus,Diesel Fuel,NY,41929,941306.0499999999,2075222.1439509997,66645285,1150894931
Broward County Board of County Commissioners,Motor Bus,Liquified Petroleum Gas,FL,73741,935035.88,2061398.8017655998,23209964,119090315
Ulster County,Motor Bus,Gasoline,NY,49837,933447.01,2057895.9471862,430747,3954087
"City of Racine, Wisconsin",Commuter Bus,Diesel Fuel,WI,41276,926646.2,2042902.7454439998,1037031,4186567
Stark Area Regional Transit Authority,Demand Response,Gasoline,OH,49347,924269.31,2037662.6062122,1387558,10133529
Montachusett Regional Transit Authority,Motor Bus,Gasoline,MA,49034,918406.8200000001,2024738.0435084,874511,7073693
Pinellas Suncoast Transit Authority,Motor Bus,Gasoline,FL,48751,913106.23,2013052.2567825997,10210124,54152172
Housatonic Area Regional Transit,Motor Bus,Gasoline,CT,48491,908236.43,2002316.1983065999,598732,3824120
City of Wilsonville,Demand Response,C Natural Gas,OR,7493,905529.0499999999,1996347.4542109997,185195,1207058
County of Douglas,Motor Bus,Gasoline,GA,48315,904939.9500000001,1995048.712569,49871,333837
County of Nassau,Motor Bus,Electric Battery,NY,3785,896195.2626756539,1975770,20293586,112757303
Central Oregon Intergovernmental Council,Motor Bus,Diesel Fuel,OR,39912,896024.4,1975393.3127279999,503039,3520617
Okaloosa County Board of County Commissioners,Motor Bus,Gasoline,FL,47749,894338.77,1971677.1391174,105016,771891
Bay Metropolitan Transit Authority,Demand Response,Diesel Fuel,MI,39831,894205.95,1971384.3214889998,290244,2107127
Cape Ann Transportation Authority,Motor Bus,Diesel Fuel,MA,39597,888952.65,1959802.791243,180339,519373
South Bend Public Transportation Corporation,Demand Response,Gasoline,IN,47285,885648.05,1952517.403991,1252820,4679161
City of Green Bay,Demand Response,Gasoline,WI,47169,883475.37,1947727.4702093997,836102,2684166
Central Florida Regional Transportation Authority,Motor Bus,Gasoline,FL,46527,871450.71,1921217.6642801997,18418220,111018391
Centre Area Transportation Authority,Demand Response,Gasoline,PA,46300,867199,1911844.2593799997,4823095,11988843
County of Lebanon Transit Authority,Motor Bus,Diesel Fuel,PA,38536,865133.2,1907289.9553839997,243772,1506617
The Greater Cleveland Regional Transit Authority,Demand Response,Liquified Petroleum Gas,OH,67792,859602.5599999999,1895096.9958271997,22415370,102838552
Fort Wayne Public Transportation Corporation,Demand Response,Gasoline,IN,45696,855886.0800000001,1886903.5696896,1561932,6664742
The Tri-State Transit Authority,Demand Response,Gasoline,WV,45610,854275.3,1883352.4118859998,731480,4274626
Greater Bridgeport Transit Authority,Demand Response,Diesel Fuel,CT,37963,852269.35,1878930.0543969998,5266649,15150397
City of Terre Haute,Motor Bus,Gasoline,IN,44974,842363.02,1857090.3611523998,145758,197093
City of Kenosha,Demand Response,Gasoline,WI,43605,816721.65,1800560.8840229998,1248670,4037901
City of Charlotte North Carolina,Vanpool,Gasoline,NC,43254,810147.42,1786067.2050804,14027141,67531449
Mid Mon Valley Transit Authority,Motor Bus,Diesel Fuel,PA,35011,785996.95,1732824.5959089997,209190,2319917
Central Oregon Intergovernmental Council,Demand Response,Gasoline,OR,41791,782745.43,1725656.2298866,503039,3520617
Brevard Board of County Commissioners,Demand Response,Gasoline,FL,41716,781340.68,1722559.2899416,1855968,12482419
Kanawha Valley Regional Transportation Authority,Motor Bus,Gasoline,WV,41651,780123.23,1719875.2753225998,1094139,5380596
The Transportation Management Association Group,Vanpool,Gasoline,TN,41220,772050.6,1702078.1937719998,78792,3623502
Rockford Mass Transit District,Motor Bus,Electric Battery,IL,3257,771177.7993486406,1700154,994754,5035893
Charleston Area Regional Transportation Authority,Commuter Bus,Diesel Fuel,SC,33994,763165.2999999999,1682489.4836859996,2230900,12721462
Lexington Transit Authority,Motor Bus,Electric Battery,KY,960,758117.0451143509,1671360,3733026,17873805
"Ride Connection, Inc.",Motor Bus,Gasoline,OR,40471,758021.8300000001,1671150.0868546,164113,894584
Western Piedmont Regional Transit Authority,Motor Bus,Diesel Fuel,NC,33484,751715.7999999999,1657247.6869959997,124319,1139015
